,Healthexp.GDP,LifeExp,Airpassengerspertotpopulation,InternetUsersPer100,AgricultureLand.area,CerealProdM3tonspertotpopulation,ForestArea.area,Urbanpop.total,FoodprodIndex,CompulsoryEdYears,MobileCellSubspertotpopulation,logHealthexppercapita,logCO2emKgper2010USofGDP,logPopDensityperSqKmland,logAdolesfertilityper1000,logGDPperCapCurrUS.,logUnemployment.rate,logFixedBroadSubspertotpopulation,logCaptureFishprodM3tonspertotpopulation,logIntTourismArrivalpertotpopulation,Olympics,Nuclear,Flag.Colours,Official.Languages,Coastline,Continent
Dominican Republic,2.62,73.32,0.001945648,45.9,48.69,0.075179392,39.67,77.08,135.52,15,0.894858953,6.229851328,-0.994252273,5.360446738,4.600459106,8.704002994,2.708050201,-2.971451883,-6.658784929,-0.784904632,N,N,tricolour,low,Y,Northern America
Ecuador,3.86,75.65,0.329316024,40.28,30.25,0.198118651,51.16,63.3,115.47,15,1.061609589,6.681356435,-0.653926467,4.144086654,4.340553386,8.71180228,1.43508448,-2.694385061,-3.415510274,-2.440771911,N,N,tricolour,low,Y,South America
"Egypt, Arab Rep.",2.06,70.93,0.120914365,29.4,3.78,0.275319801,0.07,43.03,118.73,9,1.138003967,6.340659082,-0.083381609,4.477450444,3.980429038,8.090846574,2.580216815,-3.488518359,-5.503357037,-2.256566366,N,N,multicolour,low,Y,Africa
El Salvador,4.63,72.5,0.412011441,23.11,76.35,0.171393434,13.21,65.78,112.51,12,1.476588615,6.330576155,-1.272965676,5.683239573,4.192680463,8.29373459,1.774952367,-3.063864765,-4.736890078,-1.557388537,N,N,two-colour,low,Y,Northern America
Equatorial Guinea,2.96,57.29,0.503978261,16.4,10.12,0.167001531,56.73,39.6,118.16,6,0.640816127,7.086854985,-1.203972804,3.347093123,4.719034442,10.22298292,1.945910149,-5.423064823,-4.540891355,-0.744457132,N,N,multicolour,medium,Y,Africa
Eritrea,1.38,63.18,0.069061468,0.9,75.17,0.151872095,15.04,33.8734,110.65,7.25,0.473328863,3.820565395,-1.076752954,3.901770629,4.066287964,6.77520706,1.974080999,-5.817968487,-4.046529216,-2.291071836,N,N,multicolour,medium,Y,Africa
Estonia,5.14,77.14,0.476168003,79.4,22.77,0.740138255,52.67,67.72,133.76,9,1.559361668,7.414627097,-0.105360516,3.436886224,2.701361213,9.8537604,2.151762248,-1.295134535,-2.940055571,0.77924362,N,N,tricolour,low,Y,Europe
Ethiopia,2.95,63.44,0.059978834,4.6,36.26,0.22817077,12.42,18.59,147.46,7.45,0.271227856,4.266896327,-1.30933332,4.549234554,4.153085057,6.222377836,1.609437912,-5.984420614,-7.809669845,-4.933410399,N,N,multicolour,high,N,Africa
Fiji,2.9,69.92,1.319651511,37.1,23.26,0.006625879,55.14,52.98,85.81,9.48,1.056694761,5.800909185,-0.713349888,3.875151531,3.776432351,8.467769727,2.116255538,-4.389238337,-3.022466181,-0.291270232,N,N,multicolour,medium,Y,Australia
Finland,7.2,80.98,1.924503564,91.51,7.43,0.747439038,73.11,83.95,96.23,10,1.362610434,8.20351479,-1.660731207,2.884800713,1.940179474,10.81251356,2.104134131,-1.151149508,-3.478256746,0.730410352,Y,N,two-colour,medium,Y,Europe
