"","Country","Healthexp.GDP","Healthexppercap","LifeExp","Airpassengers","MobileCellSubs","InternetUsersPer100","FixedBroadSubs","AgricultureLand.area","C02emKgper2010USofGDP","CerealProdM3tons","CaptureFishprodM3tons","ForestArea.area","PopDensityperSqKmland","Urbanpop.total","TotalPopulation","Adolesfertilityper1000","FoodprodIndex","CompulsoryEdYears","GDPperCapCurrUS.","IntTourismArrival","IntTourismExp","Unemployment.rate","Olympics","Nuclear","Flag Colours","Official Languages","Coastline","Continent"
"155","South Sudan",0.92,52.43,55.22,905127.1286,2853228,14.1,100,57.3755,0.16,5687162.03,37000,26.1196,115.998,18.39,11453810,73.19,138.6283,8,1157.49,1008450,217742500,6.37400001041,"N","N","multicolour","low","N","Africa"
"156","Spain",6.5,2928.13,83.08,48056735.82,50158689,71.64,12252061,53.44,0.17,25233510,988673,36.68,93.2,79.13,46620045,8.73,108.81,10,29370.66,60675000,1.64e+10,26.29999924,"Y","N","two-colour","high","Y","Europe"
"157","Sri Lanka",2.1,357.38,74.65,4793393.4,20315150,21.9,424357,43.69,0.23,4837225,494453,33.22,328.26,18.3,20579000,16.57,141.52,9,3611.34,1275000,1.19e+09,4.400000095,"N","N","multicolour","medium","Y","Asia"
"158","St. Kitts and Nevis",2.18,1304.45,73.9951,2985641.8018,77000,64.6,13300,23.08,0.37,129682.47,17633,42.31,208.85,31.89,54301,41.5769,41.8,11,14514.72,107000,1.6e+07,10.20900006518,"N","N","multicolour","low","Y","Northern America"
"159","St. Lucia",3.54,823.61,74.91,3916157.8333,212063,46.2,24704,17.38,0.33,0,2061,33.48,298.86,18.46,182305,55.35,70.96,10,7229.93,319000,4.6e+07,10.50900004377,"N","N","multicolour","low","Y","Northern America"
"160","St. Vincent and the Grenadines",4.31,547.85,72.81,1020134.4973,125378,43.5,14604,25.64,0.3,575,39496,69.23,280.33,49.85,109327,53.12,105.26,12,6596.79,72000,1.4e+07,9.41700003979,"N","N","tricolour","low","Y","Northern America"
"161","Sudan",1.86,274.91,63.17,541644,27657875,22.7,25707,28.7,0.23,5776940.15,34008,8.23,21.03,33.46,38515095,79.99,115.43,8,1871.11,591000,4.6e+08,14.60000038,"N","N","multicolour","medium","Y","Africa"
"162","Suriname",3.2,969.07,70.99,255204,868600,37.4,37095,0.53,0.43,262076,39369,98.33,3.42,66.14,533450,47.3,154.49,6,9618.35,249000,7e+07,4.800000191,"N","N","multicolour","low","Y","South America"
"163","Swaziland",7.37,597.95,48.94,643094.4386,893000,24.7,4200,71.05,0.22,120696,60,33.53,72.71,21.34,1250641,80,112.48,7,3686.88,968000,7.6e+07,22.29999924,"N","N","multicolour","medium","N","Africa"
"164","Sweden",10.05,5177.37,81.96,35977656.7596,12014368,94.78,3147615,7.48,0.09,4985200,187304,68.92,23.57,85.51,9600379,5.54,93.43,9,60283.25,5229000,1.76e+10,8.100000381,"Y","N","two-colour","low","Y","Europe"
"165","Switzerland",7.73,6364.78,82.8,27503416,11048637,86.34,3438094,38.61,0.07,838506,1886,31.54,204.71,73.79,8089346,3.28,101.06,12,84658.89,8967000,1.61e+10,4.400000095,"Y","N","two-colour","high","N","Europe"
"166","Syrian Arab Republic",1.51,270.71,70.3,475932,12291150,26.2,346146,75.81,0.8988,4206428,4800,2.67,105.23,56.86,19322593,41.17,82.43,9,2989.4291,1903990,578510000,11.30000019,"N","N","multicolour","low","Y","Asia"
"167","Tajikistan",2.07,171.63,69.4,683060.16,7537100,16,5800,33.94,0.51,1328800,1179,2.94,57.96,26.62,8111894,38.91,155.73,8.86,1048.67,208000,7e+06,11.19999981,"N","N","multicolour","low","N","Asia"
"168","Tanzania",2.57,130.51,64.29,1173942.82,27442823,4.4,56425,44.76,0.28,8867188,382429,52.84,56.69,30.2,50213457,121.05,154.27,7,909.33,1063000,1.03e+09,2.900000095,"N","N","multicolour","medium","Y","Africa"
"169","Thailand",5.27,883,74.25,43029150.6,93849000,28.94,5192000,43.28,0.8,42040227,1824829,31.98,132.03,47.94,67451422,44.67,128.49,9,6225.05,26547000,6.48e+09,0.699999988,"N","N","tricolour","low","Y","Asia"
"170","Timor-Leste",1.17,98.35,68.02,551854.4461,650000,8,700,25.55,0.4,188121,3200,47.64,75.95,31.49,1180069,49.96,120.92,9,1111.8,79000,4e+07,4.300000191,"N","N","multicolour","medium","Y","Asia"
"171","Togo",2.15,70.22,59.13,840948,4262993,4.5,6915,70.23,0.61,1038494,20015,4.18,127.39,38.98,6928719,91.85,124.59,10,588.99,327000,4.5e+07,6.900000095,"N","N","multicolour","low","Y","Africa"
"172","Tonga",4.06,251.69,72.64,1216852.1232,57500,35,1700,45.83,0.56,807714.69,1960,12.5,146.03,23.56,105139,16.02,132.32,15,4274.23,45000,20300000,9.54700006827,"N","N","two-colour","low","Y","Australia"
"173","Trinidad and Tobago",3.14,1812.1,70.31,2865852,1943873,63.8,212498,10.53,2.03,6359,13212,45.08,262.81,8.67,1348240,33.48,96.4,6,19607.95,434000,1213569500,3.599999905,"N","N","tricolour","low","Y","Northern America"
"174","Tunisia",4.23,797.49,74.04,4648608,12712365,43.8,519984,64,0.6,1328000,110407.7,6.57,70.84,66.46,10886500,6.79,118.84,9,4248.89,6269000,6.75e+08,13.30000019,"N","N","two-colour","low","Y","Africa"
"175","Turkey",4.23,1006.96,74.9,74413804.62,69661108,46.25,8893391,49.92,0.38,37475264,374128,14.96,99.04,72.37,76223639,30.02,129.78,12,10800.54,37795000,4.82e+09,8.699999809,"N","N","two-colour","low","Y","Asia"
"176","Turkmenistan",1.43,296.98,65.46,1800847.46,6125300,9.6,1800,72.01,2.11,1614000,15000,8.78,11.15,49.35,5240088,17.35,124.41,10,7480.32,1424058,462176000,10.69999981,"N","N","multicolour","low","Y","Asia"
"177","Tuvalu",16.47,610.13,71.6447,9133544.2187,3400,37,700,60,0.6802,953079.77,15197,33.33,329.2,57.81,9876,29.7752,107.81,8,3880.35,1300,6050000,10.99599997717,"N","N","multicolour","medium","Y","Australia"
"178","Uganda",2.09,132.52,57.77,198804,18068648,16.2,100900,71.89,0.21,3509000,419249,11.71,182.39,15.44,36573387,120.75,112.52,7,683.34,1206000,5.55e+08,4.199999809,"N","N","multicolour","low","N","Africa"
"179","Ukraine",4.15,665.15,71.16,5218814.57,62458800,40.95,3996550,71.25,1.89,62685950,203623,16.59,78.52,69.27,45489600,26.42,138.36,11,4029.72,24671000,5.76e+09,7.199999809,"N","N","two-colour","low","Y","Europe"
"180","United Arab Emirates",2.56,2208.26,77.2,68151865,16063547,88,1041934,4.57,0.5,54806,72000,3.83,108.13,84.98,9039978,28.44,68.19,6,42986.66,10825440,11267730000,3.799999952,"N","N","multicolour","low","Y","Asia"
"181","United Kingdom",7.78,3374.14,81,118605866,78673978,89.84,23039803,71.3,0.18,20083600,632315,12.85,265.07,82.09,64128226,16.72,100.2,11,42407.37,31063000,5.84e+10,7.5,"Y","Y","tricolour","low","Y","Europe"
"182","United States",8.05,8987.9,78.84,743171000,310698000,71.4,96031000,44.37,0.33,436553676,5153378.54,33.84,34.59,81.28,316427395,27.07,113.23,12,52749.91,69995000,1.04e+11,7.400000095,"Y","Y","tricolour","medium","Y","Northern America"
"183","Uruguay",6.07,1731.68,76.84,5994851.1255,5267947,57.69,737078,82.64,0.17,4045696,59196,10.28,19.47,94.98,3407969,57.25,130.06,14,16881.38,2683000,1.31e+09,6.599999905,"N","N","multicolour","low","Y","South America"
"184","Uzbekistan",3.12,340.03,68.22,2614085,21500000,26.8,306300,62.93,2.07,7704980,15623,7.62,71.09,36.22,30243200,18.04,163.28,12,1907.55,1969000,536100000,10.80000019,"N","N","multicolour","medium","N","Asia"
"185","Vanuatu",3.39,117.06,71.67,327060,127244,11.3,310,15.34,0.14,950,58305.4,36.1,20.77,25.51,253165,44.12,137.96,9.12,3167.06,110000,4.1e+07,7.22300006379,"N","N","multicolour","medium","Y","Australia"
"186","Venezuela, RB",1.54,902.23,74.07,6866780.6,30896079,54.9,2233431,24.49,0.42,3693974,214161,53.3,34.32,88.89,30276045,80.28,131.2,15,12265.03,986000,3.23e+09,7.5,"N","N","multicolour","low","Y","South America"
"187","Vietnam",3.8,372.44,75.48,20429309.91,123735557,43.9,5152576,35,1.12,49233352,2803800,46.81,289.48,32.31,89759500,37.09,133.66,9,1907.56,7572000,8217100000,2.200000048,"N","N","two-colour","low","Y","Asia"
"188","Yemen, Rep.",1.41,211.04,63.58,1664220,16844700,20,256800,44.6,0.88,863334,210000,1.04,48.36,33.45,25533217,63.73,138.37,9,1582.85,990000,8.6e+07,17.70000076,"N","N","tricolour","low","Y","Asia"
"189","Zambia",2.77,186.89,59.24,10032,10395801,15.4,13927,31.93,0.16,2900044,75187,65.87,20.51,40.03,15246086,98.17,184.37,8.37,1839.52,915000,2.1e+08,13.10000038,"N","N","multicolour","low","N","Africa"
"190","Zimbabwe",2.85,119.73,55.63,351564,13633167,15.5,103916,41.88,1.13,998450,10500,37.97,38.51,32.65,14898092,111.87,97.96,7,905.5,1833000,244450000,5.300000191,"N","N","multicolour","high","N","Africa"
